# gap sizes in first 1.5e12 primes  2 through 45624190113149
gap_size, count, log10(count)
1, 1, 0.00
2, 65194906257, 10.81
3, 65194737825, 10.81
5, 121084941753, 11.08
7, 56113290623, 10.75
9, 73415551264, 10.87
11, 100018126195, 11.00
13, 57000123866, 10.76
15, 44503028453, 10.65
17, 83933614273, 10.92
19, 49495581418, 10.69
21, 42004529886, 10.62
23, 67805194696, 10.83
25, 33953988642, 10.53
27, 37152625305, 10.57
29, 72317648382, 10.86
31, 24333965273, 10.39
33, 25733390717, 10.41
35, 44316191197, 10.65
37, 21827620895, 10.34
39, 26453438394, 10.42
41, 42158267730, 10.62
43, 18054790063, 10.26
45, 16144636371, 10.21
47, 28969074787, 10.46
49, 17465383316, 10.24
51, 13626661567, 10.13
53, 23515091107, 10.37
55, 12887645102, 10.11
57, 11135623554, 10.05
59, 24927371099, 10.40
61, 8469544269, 9.93
63, 8482774177, 9.93
65, 16732902633, 10.22
67, 7273562268, 9.86
69, 10588105004, 10.02
71, 11644745657, 10.07
73, 5833761029, 9.77
75, 5477949845, 9.74
77, 10775389359, 10.03
79, 5901758771, 9.77
81, 4324334301, 9.64
83, 9362666706, 9.97
85, 3598366018, 9.56
87, 3787051557, 9.58
89, 8162160154, 9.91
91, 2913821323, 9.46
93, 2726240838, 9.44
95, 4994677001, 9.70
97, 2755407250, 9.44
99, 2940419087, 9.47
101, 4198255301, 9.62
103, 2006696207, 9.30
105, 1794011898, 9.25
107, 3275807147, 9.52
109, 2133208975, 9.33
111, 1694199371, 9.23
113, 2720111951, 9.43
115, 1224532385, 9.09
117, 1203285397, 9.08
119, 2761709129, 9.44
121, 940409217, 8.97
123, 960668606, 8.98
125, 1968619464, 9.29
127, 743820979, 8.87
129, 1039031297, 9.02
131, 1417733013, 9.15
133, 616670929, 8.79
135, 592310951, 8.77
137, 1124478943, 9.05
139, 754991047, 8.88
141, 459988309, 8.66
143, 835460575, 8.92
145, 380494089, 8.58
147, 403660422, 8.61
149, 904466128, 8.96
151, 313431885, 8.50
153, 390821541, 8.59
155, 576453868, 8.76
157, 251126720, 8.40
159, 308571092, 8.49
161, 423495012, 8.63
163, 209860165, 8.32
165, 189842371, 8.28
167, 421965466, 8.63
169, 219117824, 8.34
171, 149579251, 8.17
173, 284797415, 8.45
175, 138946309, 8.14
177, 126896201, 8.10
179, 293714013, 8.47
181, 124024918, 8.09
183, 102203463, 8.01
185, 179609188, 8.25
187, 79099448, 7.90
189, 111655970, 8.05
191, 137930629, 8.14
193, 65335763, 7.82
195, 73004935, 7.86
197, 126114579, 8.10
199, 67640981, 7.83
201, 50300790, 7.70
203, 96791276, 7.99
205, 41609121, 7.62
207, 45105851, 7.65
209, 112221315, 8.05
211, 30677456, 7.49
213, 30242943, 7.48
215, 55502992, 7.74
217, 25966652, 7.41
219, 36546231, 7.56
221, 45674067, 7.66
223, 25611831, 7.41
225, 19380344, 7.29
227, 38559156, 7.59
229, 22544883, 7.35
231, 16467028, 7.22
233, 31239955, 7.49
235, 13314274, 7.12
237, 16256427, 7.21
239, 30083896, 7.48
241, 11264332, 7.05
